desfecho,variavel_climatica,lag_dias,pearson,spearman,r2,n_dias_validos,nota_tecnica
casos,temperatura_media,0,-0.0329654629178136,-0.04176269843825862,0.0010867217453857433,3653,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,1,-0.0565621525899817,-0.06387863279389978,0.0031992771056123734,3652,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,2,-0.06652015365777614,-0.07850432637588751,0.004424930842654148,3651,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,3,-0.054243774144185616,-0.06884499494568216,0.00294238703340542,3650,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,4,-0.039297682120953296,-0.05113252995849431,0.0015443078200794923,3649,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,5,-0.04168778374371845,-0.05315499125873816,0.0017378713134630361,3648,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,6,-0.035548651744444215,-0.04231978535446644,0.0012637066408477768,3647,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,7,-0.030660252675750684,-0.045256160195729304,0.000940051094140877,3646,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,8,-0.044347183269264075,-0.052043944366053196,0.0019666726639176956,3645,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,9,-0.04521913561295645,-0.04110882417256298,0.0020447702255829464,3644,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,10,-0.05409014831939416,-0.04915154727341214,0.002925744145214059,3643,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,11,-0.04745985235540144,-0.042614756908047675,0.002252437585596504,3642,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,12,-0.03460825715034041,-0.029553118135426274,0.0011977314629840882,3641,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,13,-0.030782042313017725,-0.031122228250622205,0.0009475341289604136,3640,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,14,-0.023273824304931242,-0.028617550585809365,0.0005416708977768083,3639,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,15,-0.03433655202867051,-0.03941012734719394,0.001178998805217597,3638,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,16,-0.0426633919294693,-0.05083654627221817,0.0018201650109275064,3637,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,17,-0.028787293128664126,-0.04296934051172583,0.0008287082456756329,3636,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,18,-0.025552689822300665,-0.03504026324670315,0.000652939957154708,3635,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,19,-0.03667200879531415,-0.042502303046326365,0.001344836229083598,3634,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,20,-0.04888606270220357,-0.04858652427315418,0.002389847126523779,3633,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,21,-0.035384708953939734,-0.03592687456886467,0.0012520776277550228,3632,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,22,-0.05417123722990902,-0.055318907828423906,0.002934522943019081,3631,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,23,-0.07071762199196517,-0.07953059202310528,0.005000982060198476,3630,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,24,-0.0609855604624778,-0.07061913178516366,0.0037192385849225355,3629,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,25,-0.04876718734140047,-0.06512952512423345,0.00237823856119125,3628,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,26,-0.028156462747746858,-0.04511517208384161,0.0007927863944652565,3627,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,27,-0.03187047990156413,-0.047307638160429495,0.0010157274891560032,3626,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,28,-0.043157852589528096,-0.04807222005408144,0.001862600240139437,3625,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
casos,temperatura_media,29,-0.04565746151150132,-0.0425036731044594,0.002084603791674224,3624,Correlação ecológica exploratória — não implica causalidade. Validar sazonalidade e atraso de notificação.
